Price,Close,High,Low,Open,Volume,SMA_50,SMA_200
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,
Date,,,,,,,
2024-10-16,221.3300018310547,222.82000732421875,218.92999267578125,221.39999389648438,49632800,226.36360076904296,201.82115036010742
2024-10-17,220.88999938964844,222.0800018310547,217.89999389648438,221.58999633789062,50791800,226.94620086669923,201.68350036621095
2024-10-18,220.6999969482422,222.27999877929688,219.22999572753906,220.7100067138672,49611900,227.38340087890626,201.59475036621095
2024-10-21,218.85000610351562,220.47999572753906,215.72999572753906,218.89999389648438,47329000,227.76040100097657,201.4993504333496
2024-10-22,217.97000122070312,218.22000122070312,215.25999450683594,217.30999755859375,43268700,228.17000091552734,201.4017504119873
2024-10-23,213.64999389648438,218.72000122070312,212.11000061035156,217.1300048828125,80938900,228.28640075683595,201.2677503967285
2024-10-24,260.4800109863281,262.1199951171875,242.64999389648438,244.67999267578125,204491900,229.46840087890624,201.39535041809083
2024-10-25,269.19000244140625,269.489990234375,255.32000732421875,256.010009765625,161611900,230.5694009399414,201.5716004180908
2024-10-28,262.510009765625,273.5400085449219,262.239990234375,270.0,107653600,231.49720123291016,201.74805046081542
2024-10-29,259.5199890136719,264.9800109863281,255.50999450683594,264.510009765625,80521800,232.23320098876954,201.95120040893553
2024-10-30,257.54998779296875,263.3500061035156,255.82000732421875,258.0400085449219,53993600,232.96220062255858,202.13940032958985
2024-10-31,249.85000610351562,259.75,249.25,257.989990234375,66575300,233.4938006591797,202.31090034484862
2024-11-01,248.97999572753906,254.0,246.6300048828125,252.0399932861328,57544800,234.26020050048828,202.49640029907226
2024-11-04,242.83999633789062,248.89999389648438,238.8800048828125,244.55999755859375,68802400,234.71060028076172,202.6496502685547
2024-11-05,251.44000244140625,255.27999877929688,246.2100067138672,247.33999633789062,69282500,235.4752001953125,202.86285026550294
2024-11-06,288.5299987792969,289.5899963378906,275.6199951171875,284.6700134277344,165228700,237.0616000366211,203.25980026245117
2024-11-07,296.9100036621094,299.75,285.5199890136719,288.8900146484375,117309200,238.88480010986328,203.70520027160646
2024-11-08,321.2200012207031,328.7099914550781,297.6600036621094,299.1400146484375,204782800,241.1836001586914,204.3981502532959
2024-11-11,350.0,358.6400146484375,336.0,346.29998779296875,210521600,243.90140014648438,205.2319002532959
2024-11-12,328.489990234375,345.8399963378906,323.30999755859375,342.739990234375,155726000,246.25919982910156,205.91970024108886
2024-11-13,330.239990234375,344.6000061035156,322.5,335.8500061035156,125405600,248.47579956054688,206.61295021057128
2024-11-14,311.17999267578125,329.9800109863281,310.3699951171875,327.69000244140625,120726100,250.0959994506836,207.23240020751953
2024-11-15,320.7200012207031,324.67999267578125,309.2200012207031,310.57000732421875,114440300,252.29579956054687,207.8917002105713
2024-11-18,338.739990234375,348.54998779296875,330.010009765625,340.7300109863281,126547500,254.74519927978517,208.64585014343263
2024-11-19,346.0,347.3800048828125,332.75,335.760009765625,88852500,257.14179931640626,209.47055015563964
2024-11-20,342.0299987792969,346.6000061035156,334.29998779296875,345.0,66340700,259.41979919433595,210.25520011901855
2024-11-21,339.6400146484375,347.989990234375,335.2799987792969,343.80999755859375,58011700,261.6163995361328,211.01550018310547
2024-11-22,352.55999755859375,361.5299987792969,337.70001220703125,341.0899963378906,89140700,264.06179962158205,211.83050018310547
2024-11-25,338.5899963378906,361.92999267578125,338.20001220703125,360.1400146484375,95890900,266.2979995727539,212.55560012817384
2024-11-26,338.2300109863281,346.9599914550781,335.6600036621094,341.0,62295900,268.50519989013674,213.3061001586914
2024-11-27,332.8900146484375,342.54998779296875,326.5899963378906,341.79998779296875,57896400,270.61900024414064,214.05045021057128
2024-11-29,345.1600036621094,345.45001220703125,334.6499938964844,336.0799865722656,37167600,272.64380035400393,214.8327001953125
2024-12-02,357.0899963378906,360.0,351.1499938964844,352.3800048828125,77986500,275.0206002807617,215.61590019226074
2024-12-03,351.4200134277344,355.69000244140625,348.20001220703125,351.79998779296875,58267200,277.0490005493164,216.3732502746582
2024-12-04,357.92999267578125,358.1000061035156,348.6000061035156,353.0,50810900,279.1222003173828,217.19410026550293
2024-12-05,369.489990234375,375.42999267578125,359.5,359.8699951171875,81403600,281.37160034179686,218.0677001953125
2024-12-06,389.2200012207031,389.489990234375,370.79998779296875,377.4200134277344,81455800,284.07160034179685,219.02675018310546
2024-12-09,389.7900085449219,404.79998779296875,378.010009765625,397.6099853515625,96359200,286.65820068359375,220.01585021972656
2024-12-10,400.989990234375,409.7300109863281,390.8500061035156,392.67999267578125,97563600,289.445400390625,221.023800201416
2024-12-11,424.7699890136719,424.8800048828125,402.3800048828125,409.70001220703125,104287600,292.780400390625,222.14900016784668
2024-12-12,418.1000061035156,429.29998779296875,415.0,424.8399963378906,87752200,296.1620004272461,223.2293002319336
2024-12-13,436.2300109863281,436.29998779296875,415.7099914550781,420.0,89000200,300.07340057373045,224.40105026245118
2024-12-16,463.0199890136719,463.19000244140625,436.1499938964844,441.0899963378906,114083800,304.3322003173828,225.7029502105713
2024-12-17,479.8599853515625,483.989990234375,457.510009765625,475.8999938964844,131223000,309.112799987793,227.16155014038085
2024-12-18,440.1300048828125,488.5400085449219,427.010009765625,466.5,149340800,313.02540008544923,228.4585001373291
2024-12-19,436.1700134277344,456.3599853515625,420.0199890136719,451.8800048828125,118566100,316.92780029296875,229.7566502380371
2024-12-20,421.05999755859375,447.0799865722656,417.6400146484375,425.510009765625,132216200,320.5736001586914,230.96870025634766
2024-12-23,430.6000061035156,434.510009765625,415.4100036621094,431.0,72698100,324.82960021972656,232.24500030517578
2024-12-24,462.2799987792969,462.7799987792969,435.1400146484375,435.8999938964844,59551800,329.69200012207034,233.66755027770995
2024-12-26,454.1300048828125,465.3299865722656,451.0199890136719,465.1600036621094,76366400,334.38320007324216,235.05050033569336
2024-12-27,431.6600036621094,450.0,426.5,449.5199890136719,82666800,338.5898001098633,236.3614003753662
2024-12-30,417.4100036621094,427.0,415.75,419.3999938964844,64941000,342.5202001953125,237.63595039367675
2024-12-31,403.8399963378906,427.92999267578125,402.5400085449219,423.7900085449219,76825100,346.1830001831055,238.8373003387451
2025-01-02,379.2799987792969,392.7300109863281,373.0400085449219,390.1000061035156,109710700,349.39160003662107,239.8647003173828
2025-01-03,410.44000244140625,411.8800048828125,379.45001220703125,381.4800109863281,95423300,353.24100006103515,241.06030029296875
2025-01-06,411.04998779296875,426.42999267578125,401.70001220703125,423.20001220703125,85516500,357.18899993896486,242.23725021362304
2025-01-07,394.3599853515625,414.3299865722656,390.0,405.8299865722656,75699500,359.86659942626954,243.34495010375977
2025-01-08,394.94000244140625,402.5,387.3999938964844,392.95001220703125,73038800,362.38159942626953,244.46550010681153
2025-01-10,394.739990234375,399.2799987792969,377.2900085449219,391.3999938964844,62287300,365.02619903564454,245.57605003356935
2025-01-13,403.30999755859375,403.7900085449219,380.07000732421875,383.2099914550781,67580500,367.901999206543,246.70425003051758
2025-01-14,396.3599853515625,422.6400146484375,394.5400085449219,414.3399963378906,84565000,370.67819915771486,247.78689994812012
2025-01-15,428.2200012207031,429.79998779296875,405.6600036621094,409.8999938964844,81375500,374.24559906005857,249.04904998779296
2025-01-16,413.82000732421875,424.0,409.1300048828125,423.489990234375,68335200,377.5423992919922,250.24205001831055
2025-01-17,426.5,439.739990234375,419.75,421.5,94991400,381.21559936523437,251.54139999389648
2025-01-21,424.07000732421875,433.20001220703125,406.30999755859375,432.6400146484375,87320900,384.66819946289064,252.8198500061035
2025-01-22,415.1099853515625,428.0,414.5899963378906,416.80999755859375,60963300,387.1997991943359,254.03984992980958
2025-01-23,412.3800048828125,420.7300109863281,408.95001220703125,416.05999755859375,50690600,389.50919921875,255.27724998474122
2025-01-24,406.5799865722656,418.8800048828125,405.7799987792969,414.45001220703125,56427100,391.2163989257813,256.4452499389648
2025-01-27,397.1499938964844,406.69000244140625,389.0,394.79998779296875,58125500,392.1593988037109,257.5465998840332
2025-01-28,398.0899963378906,400.5899963378906,386.5,396.9100036621094,48910700,393.55139892578126,258.6782498931885
2025-01-29,389.1000061035156,398.5899963378906,384.4800109863281,395.2099914550781,68033600,394.72859924316407,259.75074989318847
2025-01-30,400.2799987792969,412.5,384.4100036621094,410.7799987792969,98092900,396.5105993652344,260.8968998718262
2025-01-31,404.6000061035156,419.989990234375,401.3399963378906,401.5299987792969,83568200,398.1881994628906,262.1124999237061
2025-02-03,383.67999267578125,389.1700134277344,374.3599853515625,386.67999267578125,93732100,399.0869995117188,263.2453498840332
2025-02-04,392.2099914550781,394.0,381.3999938964844,382.6300048828125,57072200,400.0111993408203,264.4291498565674
2025-02-05,378.1700134277344,388.3900146484375,375.5299987792969,387.510009765625,57223300,400.73399963378904,265.5703499603271
2025-02-06,374.32000732421875,375.3999938964844,363.17999267578125,373.0299987792969,77918200,401.4275994873047,266.70669998168944
2025-02-07,361.6199951171875,380.54998779296875,360.3399963378906,370.19000244140625,70298300,401.6087994384766,267.8045499420166
2025-02-10,350.7300109863281,362.70001220703125,350.510009765625,356.2099914550781,77514900,401.85159973144533,268.8348000335693
2025-02-11,328.5,349.3699951171875,325.1000061035156,345.79998779296875,118543400,401.65699951171877,269.66665000915526
2025-02-12,336.510009765625,346.3999938964844,329.1199951171875,329.94000244140625,105382700,401.7293994140625,270.4983000946045
2025-02-13,355.94000244140625,358.69000244140625,342.8500061035156,345.0,89441500,401.94499938964844,271.43655014038086
2025-02-14,355.8399963378906,362.0,347.5,360.6199951171875,68277300,401.9199993896484,272.2455001068115
