Date,Predicted_Close
2025-01-01,250.383526901732
2025-01-02,250.47849260300194
2025-01-03,250.4250026861303
2025-01-06,250.34656060646898
2025-01-07,250.32214473464734
2025-01-08,250.33026831321988
2025-01-09,250.33348183330435
2025-01-10,250.3321576100601
2025-01-13,250.3304406721716
2025-01-14,250.33013503608618
2025-01-15,250.33037028476008
2025-01-16,250.3304500602973
2025-01-17,250.33041175532694
2025-01-20,250.33037521805656
2025-01-21,250.33037261944034
2025-01-22,250.33037889392438
2025-01-23,250.33038054464032
2025-01-24,250.3303794521937
2025-01-27,250.330378691936
2025-01-28,250.33037871746225
2025-01-29,250.33037887499106
2025-01-30,250.33037890371347
2025-01-31,250.33037887401025
2025-02-03,250.3303788586427
2025-02-04,250.3303788609759
2025-02-05,250.3303788647359
2025-02-06,250.33037886511147
2025-02-07,250.33037886434047
2025-02-10,250.33037886404307
2025-02-11,250.330378864133
